TITLE,Fecha,Cantidad,Time
Libro 115,2019-07-01,10.0,18
Libro 115,2019-08-01,5.0,19
Libro 115,2019-09-01,27.0,20
Libro 115,2019-10-01,19.0,21
Libro 115,2019-11-01,6.0,22
Libro 115,2019-12-01,182.0,23
Libro 115,2020-01-01,24.0,24
Libro 115,2020-02-01,62.0,25
Libro 115,2020-03-01,21.0,26
Libro 115,2020-04-01,7.0,27
Libro 115,2020-05-01,10.0,28
Libro 115,2020-06-01,6.0,29
Libro 115,2020-07-01,15.0,30
Libro 115,2020-08-01,10.0,31
Libro 115,2020-09-01,5.0,32
Libro 115,2020-10-01,5.0,33
Libro 115,2020-11-01,11.0,34
Libro 115,2020-12-01,10.0,35
Libro 115,2021-01-01,5.0,36
Libro 116,2018-01-01,49.0,0
Libro 116,2018-02-01,32.0,1
Libro 116,2018-03-01,26.0,2
Libro 116,2018-04-01,19.0,3
Libro 116,2018-05-01,28.0,4
Libro 116,2018-06-01,20.0,5
Libro 116,2018-07-01,33.0,6
Libro 116,2018-08-01,20.0,7
Libro 116,2018-09-01,12.0,8
Libro 116,2018-10-01,17.0,9
Libro 116,2018-11-01,16.0,10
Libro 116,2018-12-01,0.0,11
Libro 116,2019-01-01,11.0,12
Libro 116,2019-02-01,23.0,13
Libro 116,2019-03-01,17.0,14
Libro 116,2019-04-01,10.0,15
Libro 116,2019-05-01,9.0,16
Libro 116,2019-06-01,9.0,17
Libro 116,2019-07-01,8.0,18
Libro 116,2019-08-01,8.0,19
Libro 116,2019-09-01,10.0,20
Libro 116,2019-10-01,8.0,21
Libro 116,2019-11-01,7.0,22
Libro 116,2019-12-01,10.0,23
Libro 116,2020-01-01,18.0,24
Libro 116,2020-02-01,9.0,25
Libro 116,2020-03-01,8.0,26
Libro 116,2020-04-01,5.0,27
Libro 116,2020-05-01,11.0,28
